Näitaja,Lapse vanus leibkonnas,Väärtus,Leibkonna tüüp,Aasta
"Leibkonnaliikmete arv, tuhat",Laps 0-17,95.6,Üksik 65-aastane või vanem,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,91.9,Üksik 65-aastane või vanem,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,102.1,Üksik 65-aastane või vanem,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,107.7,Üksik 65-aastane või vanem,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,108.4,Üksik 65-aastane või vanem,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,111.3,Üksik 65-aastane või vanem,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,111.4,Üksik 65-aastane või vanem,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,113.4,Üksik 65-aastane või vanem,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,119.3,Üksik 65-aastane või vanem,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,122.2,Üksik 65-aastane või vanem,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,122.2,Üksik 65-aastane või vanem,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,126.9,Üksik 65-aastane või vanem,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,126.9,Üksik 65-aastane või vanem,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,164.5,"Lasteta paar, vähemalt üks alla 65-aastane",2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,155.0,"Lasteta paar, vähemalt üks alla 65-aastane",2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,156.2,"Lasteta paar, vähemalt üks alla 65-aastane",2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,149.3,"Lasteta paar, vähemalt üks alla 65-aastane",2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,159.8,"Lasteta paar, vähemalt üks alla 65-aastane",2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,165.6,"Lasteta paar, vähemalt üks alla 65-aastane",2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,180.2,"Lasteta paar, vähemalt üks alla 65-aastane",2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,166.2,"Lasteta paar, vähemalt üks alla 65-aastane",2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,162.2,"Lasteta paar, vähemalt üks alla 65-aastane",2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,165.2,"Lasteta paar, vähemalt üks alla 65-aastane",2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,164.3,"Lasteta paar, vähemalt üks alla 65-aastane",2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,168.7,"Lasteta paar, vähemalt üks alla 65-aastane",2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,173.6,"Lasteta paar, vähemalt üks alla 65-aastane",2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,177.2,"Lasteta paar, vähemalt üks alla 65-aastane",2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,175.3,"Lasteta paar, vähemalt üks alla 65-aastane",2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,173.9,"Lasteta paar, vähemalt üks alla 65-aastane",2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,168.4,"Lasteta paar, vähemalt üks alla 65-aastane",2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,174.8,"Lasteta paar, vähemalt üks alla 65-aastane",2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,177.3,"Lasteta paar, vähemalt üks alla 65-aastane",2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,184.9,"Lasteta paar, vähemalt üks alla 65-aastane",2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,182.8,"Lasteta paar, vähemalt üks alla 65-aastane",2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,180.3,"Lasteta paar, vähemalt üks alla 65-aastane",2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,177.7,"Lasteta paar, vähemalt üks alla 65-aastane",2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,"Lasteta paar, vähemalt üks alla 65-aastane",2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,177.5,"Lasteta paar, vähemalt üks alla 65-aastane",2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,177.5,"Lasteta paar, vähemalt üks alla 65-aastane",2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,170.9,"Lasteta paar, vähemalt üks alla 65-aastane",2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,170.9,"Lasteta paar, vähemalt üks alla 65-aastane",2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,58.3,Lasteta vähemalt 65-aastaste paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,60.3,Lasteta vähemalt 65-aastaste paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,60.8,Lasteta vähemalt 65-aastaste paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,75.0,Lasteta vähemalt 65-aastaste paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,67.6,Lasteta vähemalt 65-aastaste paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,67.1,Lasteta vähemalt 65-aastaste paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,68.6,Lasteta vähemalt 65-aastaste paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,71.0,Lasteta vähemalt 65-aastaste paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,64.2,Lasteta vähemalt 65-aastaste paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,64.2,Lasteta vähemalt 65-aastaste paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,67.2,Lasteta vähemalt 65-aastaste paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,66.8,Lasteta vähemalt 65-aastaste paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,64.5,Lasteta vähemalt 65-aastaste paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,66.3,Lasteta vähemalt 65-aastaste paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,76.2,Lasteta vähemalt 65-aastaste paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,74.9,Lasteta vähemalt 65-aastaste paar,2015
